,,Filename (snapshot),Animal,In US,Duration,FPS,Resolution
1,https://www.youtube.com/watch?v=enQQUgb6UkI,bear2,Bear,Yes,1:02,30,3840x1920
2,https://www.youtube.com/watch?v=2bpICIClAIg,elephant,Elephant,No,2:49,30,3840x2048
3,https://www.youtube.com/watch?v=v4xbMpmKgYs,elk,Elk,Yes,1:45,30,2204x1240
4,https://www.youtube.com/watch?v=rjQ5-UHQWC0,wolf,Wolf,Yes,2:05,25,3840x1920
5,https://www.youtube.com/watch?v=7AkbUfZjS5k,kangaroo,Kangaroo,No,0:25,30,5760x2880
6,https://www.youtube.com/watch?v=Ynka2out5C0,giraffe_zebra,"Giraffe, Zebra",No,3:40,30,3840x2048
7,https://www.youtube.com/watch?v=gq9VRNUqI4k,deer,Deer,Yes,0:19,60,3840x1920
8,https://www.youtube.com/watch?v=UsdN-5_bkRM,chipmunk,Chipmunk,Yes,2:54,30,3840x1920
9,https://www.youtube.com/watch?v=mlOiXMvMaZo,elephant,Elephant,No,2:37,30,3840x2048
10,https://www.youtube.com/watch?v=A_arDZ1H7Ok,bison_sheep_der,"Bison, Sheep, Deer",Yes,8:26,30,3840x1920
11,https://www.youtube.com/watch?v=f-AhBBYhoKU,lemur,Lemur,No,1:51,24,3840x1920
12,https://www.youtube.com/watch?v=kPEEBvt_YEA,squirrel,Squirrel,Yes,0:44,30,3840x2048
13,https://www.youtube.com/watch?v=8mJfUfWyZxs,albatross,Albatross,No,1:26,30,3840x2048
14,https://www.youtube.com/watch?v=WZXXAmpqCcM,wild_dog,Wild dog,No,1:02,25,3840x1920
15,https://www.youtube.com/watch?v=lmhxapXUTu0,antelope,Antelope,No,1:06,30,3840x1920
16,https://www.youtube.com/watch?v=2sT8C1j8awI,bear2,Bear,Yes,6:33,30,7680x3840
17,https://www.youtube.com/watch?v=ieCigziYNiw,beaver,Beaver,Yes,1:11,30,3840x1920
18,https://www.youtube.com/watch?v=on6r5zSg5ik,buzzard,Buzzard,No,0:37,30,3840x1920
19,https://www.youtube.com/watch?v=oGS3KIaS5_Q,rabbit,Rabbit,Yes,6:00,30,3840x1920
20,https://www.youtube.com/watch?v=EefzOjxBT8E,vox,Fox,Yes,4:24,24,3840x1920
21,https://www.youtube.com/watch?v=wei9RVB4_fI,vulture,Vulture,Yes,1:48,30,5120x2560
22,https://www.youtube.com/watch?v=rtPkaCbL8Kg,elk_horse,"Elk, Horse",Yes,5:02,30,3840x2048
,,,Average,,2:37,,